movie_id,movie_name,genre,description,director,actor1,actor2,actor3
tt1355644,Passengers,romance,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,Morten Tyldum,Jennifer Lawrence,Chris Pratt,Michael Sheen
tt1661199,Cinderella,romance,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden
tt1587310,Maleficent,romance,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",Robert Stromberg,Angelina Jolie,Elle Fanning,Sharlto Copley
tt0265208,The Girl Next Door,romance,A teenager's dreams come true when a former porn star moves in next door and they fall in love.,Luke Greenfield,Emile Hirsch,Nicholas Downs,Elisha Cuthbert
tt0404203,Little Children,romance,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts.",Todd Field,Kate Winslet,Jennifer Connelly,Patrick Wilson
tt0080453,The Blue Lagoon,romance,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern
tt4073790,The Darkest Minds,romance,"Imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future.",Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Bradley Whitford
tt5311514,Your Name.,romance,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita
tt0034583,Casablanca,romance,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid
tt0795421,Mamma Mia!,romance,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,Phyllida Lloyd,Meryl Streep,Pierce Brosnan,Amanda Seyfried
tt0213149,Pearl Harbor,romance,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett
tt0460740,Cashback,romance,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",Sean Ellis,Sean Biggerstaff,Emilia Fox,Michelle Ryan
tt0112950,Empire Records,romance,Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.,Allan Moyle,Anthony LaPaglia,Debi Mazar,Maxwell Caulfield
tt0094737,Big,romance,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",Penny Marshall,Tom Hanks,Elizabeth Perkins,Robert Loggia
tt0139134,Cruel Intentions,romance,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,Roger Kumble,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon
tt0031381,Gone with the Wind,romance,American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,"Victor Fleming, 
George Cukor, 
Sam Wood",Clark Gable,Vivien Leigh,Thomas Mitchell
tt0800039,Forgetting Sarah Marshall,romance,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",Nicholas Stoller,Kristen Bell,Jason Segel,Paul Rudd
