movie_id,movie_name,genre,description,director,star
tt0055115,Goliath and the Vampires,horror,Goliath must save the kidnapped women of his village from an evil zombie leader who needs their blood to feed his soldiers.,"Sergio Corbucci, 
Giacomo Gentilomo","Gordon Scott, 
Leonora Ruffo, 
Jacques Sernas, 
Gianna Maria Canale"
tt2949508,Zomblogalypse,horror,Feature length adaptation of the cult British zom-com web series following the adventures of three inept survivors of a zombie apocalypse through a video blog they maintain to ease the boredom of day to day survival.,"Hannah Bungard, 
Tony Hipwell, 
Miles Watts","Andrew Dunn, 
Joanne Mitchell, 
Lyndsey Craine, 
Andrina Carroll"
tt5473412,Kill,horror,"Three brothers return to the remote woodland where they killed their abusive father only to discover his shallow grave is now empty, forcing them to question one another's loyalty with devastating consequences as fear and paranoia set in.",Rodger Griffiths,"Brian Vernel, 
Daniel Portman, 
Paul Higgins, 
Calum Ross"
tt22501842,New Fears Eve,horror,"Follows three best friends who involuntarily prepare for Hooper Industries' annual New Year's Eve party, which turns deadly when a murderer sets his sights on them.",Eric Huskisson,"Dave Sheridan, 
Felissa Rose, 
Hannah Fierman, 
Warren Dean Fulton"
tt10384456,Terror Trips,horror,"Six friends start a business, providing guided tours to the shooting locations of the world's most famous horror films, until they find the one spot where the horror is real.",Jeff Seemann,"Hannah Fierman, 
Damian Maffei, 
Chaney Morrow, 
Abigail Esmena"
tt4161070,Heinous Acts,horror,"When the police department's clerk breaks into the evidence room to show the files to a new cleaning lady, she is completely unprepared for the depravity that follows.",Tim Hannigan,"Daniel Cristofori, 
Eleni Nico, 
Claudia Wit, 
Jennifer Krukowski"
tt1016090,The Cursed,horror,"A supernatural thriller set in a cozy Tennessee town where Sheriff Jimmy Muldoon and younger brother, Deputy Lloyd Muldoon, have a firm grasp of law and order until a stranger, Denny White,...                See full summary »",Joel Bender,"Louis Mandylor, 
Brad Thornton, 
Costas Mandylor, 
Francesca Cecil"
tt1663956,Wound,horror,"A supernatural horror film that explores the dark worlds of mental illness, incest, revenge and death. We follow Tanya as she searches for the mother she has never met - Susan who gave her ...                See full summary »",David Blyth,"Kate O'Rourke, 
Te Kaea Beri, 
Campbell Cooley, 
Sandy Lowe"
tt4517738,Restoration,horror,"During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems...",Zack Ward,"Emily O'Brien, 
Adrian Gaeta, 
Zack Ward, 
Sarah Ann Schultz"
tt2564978,Lost Time,horror,"After leaving a doctor visit with the worst news, Valerie Dreyfuss and her sister Melissa come to a stop on a lonely stretch of road. Their car is engulfed by a blinding light....12 hours ...                See full summary »",Christian Sesma,"Rochelle Vallese, 
Luke Goss, 
Robert Davi, 
Derek Mears"
tt2179239,The Last Showing,horror,A couple trapped in a cinema are manipulated into becoming unwilling actors in a film being captured by CCTV cameras.,Phil Hawkins,"Robert Englund, 
Finn Jones, 
Emily Berrington, 
Malachi Kirby"
tt0874292,J-ok'el,horror,"An unworldly, closed-minded American travels to a small village in exotic Chiapas, Mexico at his estranged mother's behest when his half-sister disappears during a local epidemic of ...                See full summary »",Benjamin Williams,"Tom Parker, 
Ana Patricia Rojo, 
Dee Wallace, 
Jesús Ochoa"
tt0181602,The Item,horror,"Four convicts become embroiled in what seems like an easy way to get a million dollars. Enlisted to pick up a sealed box and guard it for one day, the four men let their curiosity take over and decide to look at its contents.",Dan Clark,"DawnMarie Ferrara, 
Dan Clark, 
Dave Pressler, 
Dan Lake"
tt0869152,They Wait,horror,A young mother and her six-year-old son come face to face with the mysteries of two murders and a great crime against the Chinese community into which they have recently arrived from Shanghai.,Ernie Barbarash,"Jaime King, 
Terry Chen, 
Pei-Pei Cheng, 
Henry O"
